Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,LDSBankConflict,LDSInsts
143,"compute_fd_y_kernel",8,0,425,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
144,"compute_fd_y_kernel",8,0,428,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
145,"compute_fd_y_kernel",8,0,431,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
146,"compute_fd_y_kernel",8,0,434,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
147,"compute_fd_y_kernel",8,0,437,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
148,"compute_fd_y_kernel",8,0,440,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
149,"compute_fd_y_kernel",8,0,443,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
150,"compute_fd_y_kernel",8,0,446,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
151,"compute_fd_y_kernel",8,0,449,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
152,"compute_fd_y_kernel",8,0,452,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
153,"compute_fd_y_kernel",8,0,455,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
154,"compute_fd_y_kernel",8,0,458,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
155,"compute_fd_y_kernel",8,0,461,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
156,"compute_fd_y_kernel",8,0,464,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
157,"compute_fd_y_kernel",8,0,467,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
158,"compute_fd_y_kernel",8,0,470,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
159,"compute_fd_y_kernel",8,0,473,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
160,"compute_fd_y_kernel",8,0,476,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
161,"compute_fd_y_kernel",8,0,479,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
162,"compute_fd_y_kernel",8,0,482,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
