"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,374067410,3740674,24.062022243059836
"compute_fd_xyz_lds_window_kernel",100,165461909,1654619,10.643397495486557
"compute_fd_xy_kernel",100,163823475,1638234,10.53800463233447
"compute_fd_y_kernel",100,143708044,1437080,9.244072214777068
"compute_fd_xyz_lds_window_vec_kernel",100,137262302,1372623,8.829447515509562
"compute_fd_x_kernel",100,129740835,1297408,8.345626414242172
"compute_fd_xy_lds_kernel",100,120126085,1201260,7.72715412241258
"compute_fd_z_window_kernel",100,98335950,983359,6.325495760757185
"compute_fd_z_window_vec_kernel",100,93465875,934658,6.012226414530606
"compute_fd_xy_lds_vec_kernel",100,86422644,864226,5.559168017957089
"initialize_polynomial_kernel",2,23073824,11536912,1.4842321236176332
"max_absval_gpu_kernel",10,14079878,1407987,0.905693274951616
"__amd_rocclr_fillBufferAligned.kd",12,5028495,419041,0.3234597703636229
