"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,373885926,3738859,29.463312573183064
"compute_fd_y_kernel",100,110296097,1102960,8.691657416152966
"compute_fd_xyz_lds_window_vec_kernel",100,108445569,1084455,8.545830357422151
"compute_fd_x_kernel",100,104354441,1043544,8.223437417066055
"compute_fd_y_vec_kernel",100,94558401,945584,7.451480602357271
"compute_fd_z_window_kernel",100,94297160,942971,7.430894041845948
"compute_fd_z_window_vec_kernel",100,92989794,929897,7.327869749068605
"compute_fd_x_vec_kernel",100,86784559,867845,6.8388789481817716
"compute_fd_xy_lds_vec_kernel",100,86314219,863142,6.801814770388487
"compute_fd_y_lds_vec_kernel",100,84455136,844551,6.655313552451519
"max_absval_gpu_kernel",10,14206500,1420650,1.1195140575334874
"initialize_polynomial_kernel",1,11497515,11497515,0.9060380578750666
"__amd_rocclr_fillBufferAligned.kd",12,6902768,575230,0.5439584564736083
