Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum
0,"test_function_kernel",8,0,0,1581567,1581567,134217728,256,0,0,16,0,32,64,0x0,0x7fa02acfd580,5.1250000000,1044480.0000000000,33554432.0000000000,0.0000000000,16777216.0000000000
1,"laplacian_kernel",8,0,1,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1818729.0625000000,1042181.0000000000,212030460.0000000000,56819303.0000000000,16646400.0000000000
2,"__amd_rocclr_fillBufferAligned.kd",8,0,2,1581567,1581567,256,256,0,0,8,0,32,64,0x0,0x7fa02accd900,1.0000000000,0.3750000000,2.0000000000,1.0000000000,1.0000000000
3,"check_kernel",8,0,3,1581567,1581567,134217728,256,0,0,12,4,32,64,0x0,0x7fa02acfd600,1040408.9375000000,0.0000000000,33292800.0000000000,16646400.0000000000,0.0000000000
4,"laplacian_kernel",8,0,6,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819965.6250000000,1040400.0000000000,212030460.0000000000,56811709.0000000000,16646400.0000000000
5,"laplacian_kernel",8,0,9,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819577.1250000000,1038162.9375000000,212030460.0000000000,56800474.0000000000,16646400.0000000000
6,"laplacian_kernel",8,0,12,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820785.5625000000,1038146.3750000000,212030460.0000000000,56793273.0000000000,16646400.0000000000
7,"laplacian_kernel",8,0,15,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820047.4375000000,1038054.3750000000,212030460.0000000000,56795739.0000000000,16646400.0000000000
8,"laplacian_kernel",8,0,18,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819443.8125000000,1038275.5625000000,212030460.0000000000,56802018.0000000000,16646400.0000000000
9,"laplacian_kernel",8,0,21,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1821188.0000000000,1038082.6250000000,212030460.0000000000,56802474.0000000000,16646400.0000000000
10,"laplacian_kernel",8,0,24,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820413.3125000000,1038090.6250000000,212030460.0000000000,56786784.0000000000,16646400.0000000000
11,"laplacian_kernel",8,0,27,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820228.1875000000,1038074.8750000000,212030460.0000000000,56791097.0000000000,16646400.0000000000
12,"laplacian_kernel",8,0,30,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820572.1250000000,1038086.0000000000,212030460.0000000000,56788816.0000000000,16646400.0000000000
13,"laplacian_kernel",8,0,33,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820208.5625000000,1038037.1250000000,212030460.0000000000,56802895.0000000000,16646400.0000000000
14,"laplacian_kernel",8,0,36,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820117.6250000000,1038053.1250000000,212030460.0000000000,56799196.0000000000,16646400.0000000000
15,"laplacian_kernel",8,0,39,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1821784.9375000000,1038032.1250000000,212030460.0000000000,56795074.0000000000,16646400.0000000000
16,"laplacian_kernel",8,0,42,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819952.6875000000,1038082.1250000000,212030460.0000000000,56803656.0000000000,16646400.0000000000
17,"laplacian_kernel",8,0,45,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820855.6250000000,1038105.6250000000,212030460.0000000000,56794916.0000000000,16646400.0000000000
18,"laplacian_kernel",8,0,48,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820162.6250000000,1038186.3750000000,212030460.0000000000,56797289.0000000000,16646400.0000000000
19,"laplacian_kernel",8,0,51,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819866.5000000000,1038097.1250000000,212030460.0000000000,56811030.0000000000,16646400.0000000000
20,"laplacian_kernel",8,0,54,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820563.0625000000,1038053.8750000000,212030460.0000000000,56789488.0000000000,16646400.0000000000
21,"laplacian_kernel",8,0,57,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819951.7500000000,1038121.8750000000,212030460.0000000000,56799363.0000000000,16646400.0000000000
22,"laplacian_kernel",8,0,60,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820795.3125000000,1038119.7500000000,212030460.0000000000,56798689.0000000000,16646400.0000000000
23,"laplacian_kernel",8,0,63,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820876.8750000000,1038075.3750000000,212030460.0000000000,56800896.0000000000,16646400.0000000000
24,"laplacian_kernel",8,0,66,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820017.5000000000,1038153.0000000000,212030460.0000000000,56802008.0000000000,16646400.0000000000
25,"laplacian_kernel",8,0,69,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820033.3750000000,1038119.6250000000,212030460.0000000000,56803032.0000000000,16646400.0000000000
26,"laplacian_kernel",8,0,72,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820455.1875000000,1038043.6250000000,212030460.0000000000,56799223.0000000000,16646400.0000000000
27,"laplacian_kernel",8,0,75,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1821079.8125000000,1038096.6250000000,212030460.0000000000,56790441.0000000000,16646400.0000000000
28,"laplacian_kernel",8,0,78,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820028.2500000000,1038117.5000000000,212030460.0000000000,56800922.0000000000,16646400.0000000000
29,"laplacian_kernel",8,0,81,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820748.9375000000,1038096.2500000000,212030460.0000000000,56785197.0000000000,16646400.0000000000
30,"laplacian_kernel",8,0,84,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819365.0625000000,1038093.5000000000,212030460.0000000000,56800859.0000000000,16646400.0000000000
31,"laplacian_kernel",8,0,87,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819884.4375000000,1038107.3750000000,212030460.0000000000,56804510.0000000000,16646400.0000000000
32,"laplacian_kernel",8,0,90,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820111.0000000000,1038048.7500000000,212030460.0000000000,56784705.0000000000,16646400.0000000000
33,"laplacian_kernel",8,0,93,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819859.8750000000,1038088.6250000000,212030460.0000000000,56797190.0000000000,16646400.0000000000
34,"laplacian_kernel",8,0,96,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1818778.3125000000,1038084.8750000000,212030460.0000000000,56809872.0000000000,16646400.0000000000
35,"laplacian_kernel",8,0,99,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820260.4375000000,1038159.2500000000,212030460.0000000000,56810291.0000000000,16646400.0000000000
36,"laplacian_kernel",8,0,102,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819687.7500000000,1038071.0000000000,212030460.0000000000,56796867.0000000000,16646400.0000000000
37,"laplacian_kernel",8,0,105,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1819288.6875000000,1038070.6250000000,212030460.0000000000,56823449.0000000000,16646400.0000000000
38,"laplacian_kernel",8,0,108,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1821479.6250000000,1038053.6250000000,212030460.0000000000,56791741.0000000000,16646400.0000000000
39,"laplacian_kernel",8,0,111,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1821435.8125000000,1038048.6250000000,212030460.0000000000,56804808.0000000000,16646400.0000000000
40,"laplacian_kernel",8,0,114,1581567,1581567,16777216,256,0,0,108,4,32,64,0x0,0x7fa02acfd5c0,1820764.6250000000,1038079.1250000000,212030460.0000000000,56810939.0000000000,16646400.0000000000
