"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,373598483,3735984,29.456521556500494
"compute_fd_y_kernel",100,110268142,1102681,8.694135682071968
"compute_fd_xyz_lds_window_vec_kernel",100,108404783,1084047,8.547218397745095
"compute_fd_x_kernel",100,104355929,1043559,8.227984887554094
"compute_fd_y_vec_kernel",100,94575053,945750,7.456807814183969
"compute_fd_z_window_kernel",100,94287082,942870,7.434102625712561
"compute_fd_z_window_vec_kernel",100,93027704,930277,7.334806464478463
"compute_fd_x_vec_kernel",100,86760105,867601,6.84063511889781
"compute_fd_xy_lds_vec_kernel",100,86248463,862484,6.800294501127659
"compute_fd_y_lds_vec_kernel",100,84409887,844098,6.6553312423307425
"max_absval_gpu_kernel",10,13996741,1399674,1.1035786325375798
"initialize_polynomial_kernel",1,11505041,11505041,0.907119551191866
"__amd_rocclr_fillBufferAligned.kd",12,6867408,572284,0.5414635256676991
