"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"test_function_kernel",8,0,0,1581889,1581889,134217728,256,0,0,16,0,32,64,"0x0","0x7f3cb4d2d580",2003971293203339,2003971293230904,2003971294318911,2003971294360541,1088007
1,"laplacian_kernel",8,0,1,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971293235339,2003971294318911,2003971296253644,2003971296272325,1934733
2,"__amd_rocclr_fillBufferAligned.kd",8,0,2,1581889,1581889,256,256,0,0,8,0,32,64,"0x0","0x7f3cb4cfd900",2003971293281599,2003971296253644,2003971296258924,2003971296280654,5280
3,"check_kernel",8,0,3,1581889,1581889,134217728,256,0,0,12,4,32,64,"0x0","0x7f3cb4d2d600",2003971293292799,2003971296258924,2003971297296691,2003971297317987,1037767
4,"laplacian_kernel",8,0,6,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971299135580,2003971299149664,2003971301080557,2003971301101403,1930893
5,"laplacian_kernel",8,0,9,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971301101213,2003971301126637,2003971303059611,2003971303090307,1932974
6,"laplacian_kernel",8,0,12,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971303077787,2003971303089371,2003971305025064,2003971305050481,1935693
7,"laplacian_kernel",8,0,15,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971305043991,2003971305054665,2003971306981878,2003971307010874,1927213
8,"laplacian_kernel",8,0,18,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971307004164,2003971307014198,2003971308939971,2003971308963558,1925773
9,"laplacian_kernel",8,0,21,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971308958518,2003971308967172,2003971310898385,2003971310918172,1931213
10,"laplacian_kernel",8,0,24,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971310916301,2003971310935665,2003971312868799,2003971312890325,1933134
11,"laplacian_kernel",8,0,27,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971312886595,2003971312895039,2003971314826732,2003971314845568,1931693
12,"laplacian_kernel",8,0,30,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971314845359,2003971314862892,2003971316792026,2003971316811302,1929134
13,"laplacian_kernel",8,0,33,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971316810132,2003971316840506,2003971318775560,2003971318795116,1935054
14,"laplacian_kernel",8,0,36,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971318794446,2003971318814120,2003971320745973,2003971320767810,1931853
15,"laplacian_kernel",8,0,39,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971320764130,2003971320772853,2003971322701347,2003971322719883,1928494
16,"laplacian_kernel",8,0,42,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971322720913,2003971322737347,2003971324671280,2003971324695357,1933933
17,"laplacian_kernel",8,0,45,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971324689237,2003971324698001,2003971326629054,2003971326650840,1931053
18,"laplacian_kernel",8,0,48,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971326650320,2003971326675934,2003971328604428,2003971328626584,1928494
19,"laplacian_kernel",8,0,51,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971328624754,2003971328649868,2003971330584121,2003971330605797,1934253
20,"laplacian_kernel",8,0,54,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971330604557,2003971330631322,2003971332564615,2003971332589701,1933293
21,"laplacian_kernel",8,0,57,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971332584641,2003971332594695,2003971334523029,2003971334544555,1928334
22,"laplacian_kernel",8,0,60,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971334543675,2003971334569589,2003971336495362,2003971336518158,1925773
23,"laplacian_kernel",8,0,63,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971336515548,2003971336525122,2003971338459216,2003971338481302,1934094
24,"laplacian_kernel",8,0,66,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971338480332,2003971338505296,2003971340435709,2003971340457095,1930413
25,"laplacian_kernel",8,0,69,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971340454946,2003971340463710,2003971342394443,2003971342415529,1930733
26,"laplacian_kernel",8,0,72,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971342415029,2003971342446123,2003971344375257,2003971344396903,1929134
27,"laplacian_kernel",8,0,75,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971344395003,2003971344424377,2003971346347590,2003971346368906,1923213
28,"laplacian_kernel",8,0,78,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971346367706,2003971346393671,2003971348323284,2003971348344960,1929613
29,"laplacian_kernel",8,0,81,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971348343960,2003971348368724,2003971350301858,2003971350326024,1933134
30,"laplacian_kernel",8,0,84,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971350321024,2003971350331298,2003971352255951,2003971352275587,1924653
31,"laplacian_kernel",8,0,87,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971352275057,2003971352291471,2003971354224445,2003971354247531,1932974
32,"laplacian_kernel",8,0,90,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971354243131,2003971354251724,2003971356174935,2003971356197704,1923211
33,"laplacian_kernel",8,0,93,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971356202184,2003971356213335,2003971358138306,2003971358158788,1924971
34,"laplacian_kernel",8,0,96,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971358157198,2003971358184067,2003971360109838,2003971360127582,1925771
35,"laplacian_kernel",8,0,99,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971360128922,2003971360143439,2003971362072731,2003971362091545,1929292
36,"laplacian_kernel",8,0,102,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971362092325,2003971362106971,2003971364036103,2003971364054649,1929132
37,"laplacian_kernel",8,0,105,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971364054249,2003971364072423,2003971366006195,2003971366025202,1933772
38,"laplacian_kernel",8,0,108,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971366025733,2003971366042195,2003971367979167,2003971367997666,1936972
39,"laplacian_kernel",8,0,111,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971367997896,2003971368026847,2003971369955499,2003971369975930,1928652
40,"laplacian_kernel",8,0,114,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971369974270,2003971369992459,2003971371922871,2003971371945683,1930412
41,"laplacian_kernel",8,0,117,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971371940853,2003971371950231,2003971373879363,2003971373898037,1929132
42,"laplacian_kernel",8,0,120,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971373899137,2003971373915843,2003971375848015,2003971375869831,1932172
43,"laplacian_kernel",8,0,123,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971375866560,2003971375874895,2003971377801627,2003971377819474,1926732
44,"laplacian_kernel",8,0,126,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971377820774,2003971377836187,2003971379764199,2003971379782808,1928012
45,"laplacian_kernel",8,0,129,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971379782768,2003971379799879,2003971381728051,2003971381747721,1928172
46,"laplacian_kernel",8,0,132,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971381747431,2003971381764531,2003971383691743,2003971383711855,1927212
47,"laplacian_kernel",8,0,135,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971383710885,2003971383729663,2003971385658475,2003971385680918,1928812
48,"laplacian_kernel",8,0,138,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971385679729,2003971385704875,2003971387630327,2003971387652052,1925452
49,"laplacian_kernel",8,0,141,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971387650782,2003971387674967,2003971389596899,2003971389618746,1921932
50,"laplacian_kernel",8,0,144,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971389616066,2003971389625859,2003971391554831,2003971391582799,1928972
51,"laplacian_kernel",8,0,147,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971391577419,2003971391587151,2003971393514523,2003971393536333,1927372
52,"laplacian_kernel",8,0,150,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971393534263,2003971393546363,2003971395477895,2003971395500416,1931532
53,"laplacian_kernel",8,0,153,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971395498307,2003971395508135,2003971397432147,2003971397453500,1924012
54,"laplacian_kernel",8,0,156,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971397454350,2003971397478707,2003971399409759,2003971399432154,1931052
55,"laplacian_kernel",8,0,159,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971399429964,2003971399439359,2003971401367211,2003971401393547,1927852
56,"laplacian_kernel",8,0,162,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971401387847,2003971401396971,2003971403321463,2003971403343511,1924492
57,"laplacian_kernel",8,0,165,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971403342291,2003971403368183,2003971405298755,2003971405317145,1930572
58,"laplacian_kernel",8,0,168,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971405318594,2003971405335875,2003971407263087,2003971407280358,1927212
59,"laplacian_kernel",8,0,171,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971407282068,2003971407297007,2003971409229979,2003971409252482,1932972
60,"laplacian_kernel",8,0,174,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971409248402,2003971409257019,2003971411190951,2003971411208415,1933932
61,"laplacian_kernel",8,0,177,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971411209815,2003971411225831,2003971413156723,2003971413178719,1930892
62,"laplacian_kernel",8,0,180,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971413175579,2003971413183443,2003971415111295,2003971415129243,1927852
63,"laplacian_kernel",8,0,183,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971415130492,2003971415146495,2003971417075787,2003971417097596,1929292
64,"laplacian_kernel",8,0,186,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971417093866,2003971417103018,2003971419031990,2003971419048930,1928972
65,"laplacian_kernel",8,0,189,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971419053890,2003971419067510,2003971420995042,2003971421014113,1927532
66,"laplacian_kernel",8,0,192,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971421014523,2003971421031843,2003971422957295,2003971422975957,1925452
67,"laplacian_kernel",8,0,195,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971422976567,2003971422992336,2003971424929789,2003971424948650,1937453
68,"laplacian_kernel",8,0,198,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971424948461,2003971424964829,2003971426894442,2003971426914344,1929613
69,"laplacian_kernel",8,0,201,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971426913124,2003971426930602,2003971428860695,2003971428879528,1930093
70,"laplacian_kernel",8,0,204,1581889,1581889,16777216,256,0,0,92,4,64,64,"0x0","0x7f3cb4d2d5c0",2003971428880038,2003971428894775,2003971430821188,2003971430841291,1926413
