"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,373785124,3737851,29.383083028686055
"compute_fd_y_kernel",100,110263439,1102634,8.667760098353888
"compute_fd_xyz_lds_window_vec_kernel",100,108329237,1083292,8.515713335892976
"compute_fd_x_kernel",100,108073977,1080739,8.495647460360962
"compute_fd_y_vec_kernel",100,94488622,944886,7.427708721474245
"compute_fd_z_window_kernel",100,94311400,943114,7.413777378555125
"compute_fd_z_window_vec_kernel",100,92968827,929688,7.308238309720828
"compute_fd_x_vec_kernel",100,86813051,868130,6.82433548507553
"compute_fd_xy_lds_vec_kernel",100,86324294,863242,6.785914513801533
"compute_fd_y_lds_vec_kernel",100,84359126,843591,6.631433527797079
"max_absval_gpu_kernel",10,14095936,1409593,1.1080752851337252
"initialize_polynomial_kernel",1,11498474,11498474,0.9038899478653085
"__amd_rocclr_fillBufferAligned.kd",12,6798447,566537,0.5344229072827458
