"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,373667442,3736674,29.573579877114938
"compute_fd_y_kernel",100,110201309,1102013,8.721785330909631
"compute_fd_xyz_lds_window_vec_kernel",100,108443733,1084437,8.582683529725411
"compute_fd_x_kernel",100,99483332,994833,7.873520501536082
"compute_fd_y_vec_kernel",100,94524895,945248,7.481089381767445
"compute_fd_z_window_kernel",100,94291646,942916,7.462629095541177
"compute_fd_z_window_vec_kernel",100,92974198,929741,7.358360836435143
"compute_fd_x_vec_kernel",100,86824500,868245,6.871648416295702
"compute_fd_xy_lds_vec_kernel",100,86355920,863559,6.834563065790857
"compute_fd_y_lds_vec_kernel",100,84361809,843618,6.676740910810779
"max_absval_gpu_kernel",10,14026647,1402664,1.1101265961046578
"initialize_polynomial_kernel",1,11503592,11503592,0.9104416351204084
"__amd_rocclr_fillBufferAligned.kd",12,6858764,571563,0.5428308228477673
