"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,373597619,3735976,29.434722322795217
"compute_fd_y_kernel",100,110261992,1102619,8.687237156289981
"compute_fd_xyz_lds_window_vec_kernel",100,108363486,1083634,8.537659123411348
"compute_fd_x_kernel",100,105328077,1053280,8.298507649988512
"compute_fd_y_vec_kernel",100,94480330,944803,7.4438436892609285
"compute_fd_z_window_kernel",100,94274890,942748,7.4276576402968555
"compute_fd_z_window_vec_kernel",100,93003384,930033,7.3274792019493455
"compute_fd_x_vec_kernel",100,86801031,868010,6.838812976528471
"compute_fd_xy_lds_vec_kernel",100,86304790,863047,6.799715521680436
"compute_fd_y_lds_vec_kernel",100,84402807,844028,6.649863545595767
"max_absval_gpu_kernel",10,14012578,1401257,1.1040122353041795
"initialize_polynomial_kernel",1,11496076,11496076,0.9057440081323173
"__amd_rocclr_fillBufferAligned.kd",12,6914127,576177,0.5447449287666395
